Location name,Type,Experiment,City,Farm,Field,long,lat,Plot length (center to center in feet),Alley length (inches),Row spacing (inches),Number kernels planted,Planter type,Previous crop,Insecticide,Pre-plant herbicides,Post-plant herbicides,Tillage method,Soil test type,Soil texture,Soil pH,Total nitrogen,Total phosphorus,Total potassium,Nutrient application schedule,Irrigated?,Weather station includes irrigation,Fertigation schedule,Irrigation schedule,Local check,Harvest date,Planting date,Inbred reps,Inbred plots,Collaborators,Data file name,traits,folder,Metadata file name,additional metadata,Weather Station serial number,Weather-folder
DE1,inbred,G2FDE1,Newark,Newark experimental station,15,-75.749283,39.669876,12,24,30,24,cone,Corn,Force 3G,None,Pricep,Conventional,,,,90 pounds,40 pounds,40 pounds,,Yes,Yes,none,,,10/7/2014,5/13/2014,2,911601 to 911731,Randy Wisser,G2F_IN_DE1.csv,all,Delaware,G2FDE1_metadata_inbred.csv,,9078,Delaware\Environmental Data\Station 9078\
GA2,inbred,,Tifton,Gibbs,525,-83.58093333,31.43474722,20,48,7.875,21,Almaco fluted cone planter,peanuts,2 pts /acre of Lorasban for FAW control;20-May-14,Incoporated Atrizine @ 4 pts/acre,Roundup and Evik hand sprayed as needed,conventional,,Loamy Sand,6.2,450 lbs,192 lbs;17-Apr-14,210 lbs;17-Apr-14,See above,yes,Yes,none,"0.5"" 5/9/2014; 0.5"" 5/23/2014;  0.5"" 5/30/2014; 1"" 6/6/2014; 1"" 6/25/14; 1"" 6/30/14; 1"" 7/2/2014; 1"" 7/5/14; 1"" 7/7/14; ",,see data,4/17/2014,3,914201 to 914431,Joe Knoll,FINALFORDRSCULLY AND NATALIEWisconsinData_jp_SHEET1.csv; FINALFORDRSCULLY AND NATALIEWisconsinData_jp_SHEET2.csv,all except EL; EW; KRN,Georgia,G2F_metadata_GA_inbred-Scully_SHEET3.csv,G2F_metadata_GA_inbred-Scully_SHEET1.csv; G2F_metadata_GA_inbred-Scully_SHEET2.csv; G2F_metadata_GA_inbred-Scully_SHEET3.csv,8631,Georgia\Environmental data\Scully-Tifton\
IA1,inbred,GXE_inb_IA1,Ames,Bennett Farm (co-located with IA1-Hybrid (Worle)),A1 (southeast of communications tower),-93.689885,41.991634,18,36,30,23,Air planter,soybean,,Bicep Light II,Impact,Plowed in previous fall,soil sample submitted 6/11/15,Nicollet Loam,soil sample submitted 6/11/15,120 lbs/acre,none applied,none applied,120 lbs/acre,No,N/A,none applied,none applied,,9/30/2014,5/24/2014,2,913201 to 913331,Nick Lauter,G2F_IN_IA1_FINAL.csv,all,Iowa,Lauter-2014_G2F_metadata_IA1_inbred.csv,,9080,Iowa\Environmental Data\IA1_Lauter group (Bennett-Worle farm)\
IA2,inbred,GXE_inb_IA2,Ames,Agronomy and Agricultural Engineering Farm,B4B5,-93.768343,42.015348,18,36,30,24,Fluted cone,Oats,,Bicep Light II,Impact,Plowed in previous fall; C-shank cultivated twice in spring,soil sample submitted 6/11/15,Canisteo Silty Clay Loam,soil sample submitted 6/11/15,120 lbs/acre,none applied,none applied,120 lbs/acre,No,N/A,none applied,none applied,,9/30/2014,5/9/2014,2,913401 to 913531,Nick Lauter,G2F_IN_IA2_FINAL.csv,all,Iowa,Lauter-2014_G2F_metadata_IA2_inbred.csv,,9084,Iowa\Environmental Data\IA2_Lauter group (Agronomy farm)\
IA3,inbred,G2FIA3,Ames,Curtiss,12,-93.66583333,42.00527778,29,"120"" & 30""",30,25,jab,soy beans,,2.5 pints per acre of Harness on 5-7-14,0.75 oz of Impact and 0.5 lbs Atrazine on 6-10-14,The area would have been bean stubble and we would have field cultivated after nitrogen and herbicide but before marking for planting,n/a,n/a,n/a,22 pounds in fall & 110 pounds in spring,74 pounds in fall,111 pounds in fall,none other than applied in fall,no,n/a,none other than applied in fall,none used,,11/10/2014,5/20/2014,2,914001 to 914131,Pat Schnable,GXE_Traits_IA3_inbred_SHEET1.csv; GXE_Traits_IA3_inbred_SHEET2.csv,all,Iowa,G2F_metadata_IA3_inbred.csv,,9081,Iowa\Environmental Data\IA3_Schnable group (Curtiss farm)\
IL1,inbred,G2FIL1,Urbana,Maxwell Farms,MF500,-88.233184,40.061135,20,30,30,,air,soybeans,none,outlook; infantry,none,conventional,not recently tested,481A - Raub silt loam; non-densic substratum; 0 to 2 percent slope,not recently tested,180 lb,none,none,180 lb Nitrogen/acre preplant,none,none,preplant only,none,,rep 1 - 9/30/14; rep 2 - 10/7/14,5/6/2014,2,913701 to 913831,Martin Bohn,G2F_IN_IL1 090914.csv,all except lodging; EL; EW; KRN,Illinois,G2F_metadata_IL_all_01122015.csv,,8653,Illinois\Environmental Data\
IN1,inbred,G2FIN1,West Lafayette,Purdue ACRE,97/98,-87.007,40.488,20,30,30,66,Air planter,Soybean,None,2.5 qt bicep II magnum,None,Chisel plow and field cultivator,n/a,n/a,n/a,180lb per acre of NH3; and 18lb per acre from application of diammonium phosphate (DAP) at 100lb/acre,46lb per acre from application of DAP at 100lb/acre,None,see above,No,n/a,none,none,,10/28/2014,5/30/2014,2,913001 to 913131,Torbert Rocheford,GXE_IN_IN1.csv,all except EL; EW; KRN,Indiana,G2F_metadata_IN_inbred_final.csv,,8657,Indiana\Environmental data
MN2,inbred,G2FMN2,St. Paul,Minnesota Agricultural Experiment Station,X10,-93.17537819,44.99606988,25,36,30,40,jab planter,Soybean,NA,Medal II (S- Metolachlor) applied @ 16oz./acre,Laudis @ 3oz./acre and Atrazine @ 16oz./acre,moldboard plowed in fall 2013 and tilled in 2014 with a John Deer field finisher,NA,Waukegan Silt Loam,NA,100 lb per acre (reps 1 3 5 7 9 11); 0 lb per acre (reps 2 4 6 8 10 12),0,0,NA,no,n/a,NA,NA,,10/10/14 (reps 1-8); 10/13/14 (reps 9-12),05/06/14 (reps 1-4); 05/16/14 (reps 5-8); 05/28/14 (reps 9-12),12,911801 to 912931,Candy Hirsh/Nathan Springer,G2F_IN_MN2_10.13.14_FINAL.csv,all except EL; EW; KRN,Minnesota,G2F_metadata_MN2_inbred_v2_1.8.15.csv,,8649,Minnesota\Environmental Data\MN2_2014_WatchDog\
MO1,inbred,GXE_inb_MO1,Columbia,Bradford,C1a,-92.210061,38.897512,15,36,36,15,air planter,soybean,n/a,n/a,Degree Xtra,chisel plow in fall; field cultivated in spring,n/a,50058 = Mexico silt loam; 0 to 2 percent slopes,n/a,118 pound/A,46 pound/A,62 pound/A,none other than preplant above,yes,Y,n/a,"7/21/14  0.5"" target; measured 0.37""",,n/a,5/8/2014,2,910601 to 910731,Sherry Flint-Garcia,GXEMO1BFD.csv,Flowering and standcount onlny,Missouri,G2F_metadata_MO1BFD_inbred_final.csv,,8645,Missouri\Environmental Data\m2700s08645\
MO2,inbred,GXE_inb_BO2,Columbia,Rollins=Hinkson Creek Bottoms,block 5,-92.352414,38.92785,15,36,36,15,air planter,soybeans,none,Lexar E Z,Callisto,Disc in previous fall; field cultivator in spring,n/a,66014 = Haymond silt loam; 0 to 3 percent slopes; frequently flooded,n/a,125 pound/A,30 pound/A,30 pound/A,n/a,no,n/a,n/a,n/a,,n/a,5/8/2014,2,910801 to 910931,Sherry Flint-Garcia,GXEMO2KSV.csv,Flowering and standcount onlny,Missouri,G2F_metadata_MO2KSV_inbred_final.csv,,8646,Missouri\Environmental Data\m2700s08646\
MO3,inbred,GXE_inb_MO3,Columbia,Rollins=Hinkson Creek Bottoms,block 5,-92.352414,38.92785,15,36,36,15,air planter,soybeans,none,Lexar E Z,Callisto,Disc in previous fall; field cultivator in spring,n/a,66014 = Haymond silt loam; 0 to 3 percent slopes; frequently flooded,n/a,125 pound/A,30 pound/A,30 pound/A,n/a,no,n/a,n/a,n/a,,n/a,5/6/2014,2,911001 to 911131,Sherry Flint-Garcia,GXEMO3HCB.csv,Flowering and standcount onlny,Missouri,G2F_metadata_MO3HCBd_inbred_final.csv,,8646,Missouri\Environmental Data\m2700s08646\
NC1,inbred,NC1,Clayton NC,Central Crops Research Station,B3,-78.49885556,35.67025278,16,48,38,25,fluted cone,soybean,Counter 20G 6.5 lbs per acre in furrow at planting; 8 applications of Asana XL at 5 oz per acre; 1 application of Dipel ES at 1 Qt per acre,Atrazine 4L 1 pt per acre pre-emerge; Dual II magnum 20 oz per acre pre-emerge,None,pre-plant discing and bedding,,,,100 lbs/A,47.4 lbs/A,142.2 lbs/A,Pre plant incorporated fertilizer 10-10-30 at 474 lbs per acre; 24S liquid nitrogen 12 gals per acre side dress; 24S liquid nitrogen 12 gals per acre top dress,yes,,,,,8/29/2014,4/14/2014,2,914501 to 914631,Jim Holland,G2F_IN_NC1.csv,all except lodging; EL; EW; KRN,North Carolina,G2F_metadata_NC1_inbred_v2.csv,,8658,North Carolina\Environmental Data\Clayton Inbreds\
NE1,inbred,G2FNE1,Lincoln,East Campus,1807S,-96.656121,40.833864,12.5,30,30,30,flutted cone,Soybean,,Dual 2 Magnum,Buctril (1 pt per ac) + Atrazine (.5 pt per ac),conventional,,,,150 lbs/ac,,,,no,,,,,10/15/2014,5/24/2014,2,910401 to 910531,Aaron Lorenz,G2FInbred NETraits.csv,,Nebraska,G2F_metadata_NE1_inbred_final.csv,,8654,Nebraska\Environmental Data\NE1
NY1,inbred,G2FNY1,Aurora,Musgrave Research Farm,J,-76.652051,42.728605,10,48,30,10,hand jabber,corn,none, Bicep lite II magnum 1.5 quarts/a and Callisto 6 floz/a on 6/3/14 preemergence.,,Field J was fall moldboard plow;  Then disked this spring and field cultivated before planting.,2011/1030 Morgan extractable,Lima silt loam,7.42,121 lbs,22 lbs,,NOTES on fertilizer:  At planting 5/27/14 12-25-0-3.3S and 0.3 ZN was banded at 7.5 gallons per acre which comes out to 11 lbs of N and 22 lbs of P2O per acre.  Then side dress 6/30/14 33.8 gallons of 30 % UAN which is 110 lbs of N.,no,n/a,n/a,none,,12/8/2014,5/29/2014,2,910001 to 910131,Buckler/Smith/Nelson/Gore,G2F_IN_NY1 inbred dataFINAL.csv,All except DFF,New York,G2F_metadata_NY1_inbred complete.csv,,9106,New York\Environmental data\NY1 and NY1 inbred
PA1,inbred,GxE_inb_PA1,Pennsylvania Furnace; PA,Russell E Larson Ag Research Farm,Field #105 and #85,-77.956887,40.711248,15,36,30,20,jab (hand) planter,Corn in 2014: no fall crop,,BicepII Magnum; 1.5 pints/a; both fields,Roundup; both fields; 5/9/2014,Chisel plowed to incorporate the fertilizer; followed by disking and cultimulching; scored with 8-row corn planter + applied Force 3G corn rootworm insecticide pre-plant.,,,,130 lb/a; urea; on High N sides of each field only; no N applied on low N reps,None,None,Low-N history of fields 105 and 85: Fields 105 and 85 recieved an application of hardwood sawdust (May 6 field 85 and May 9 field 105) in 2011; and both fields received a second application of sawdust on May 23; 2012: not sawdust applied in 2013 or 2014,No,n/a,n/a,n/a,,8/19/2014,5/31/2014,4,916101 to 916431,Jonathan Lynch,G2F_IN_PA1_complete_SHEET1.csv; G2F_IN_PA1_complete_SHEET2.csv,All except EL; EW,Pennsylvania,G2F_metadata_PA1_inbred_final.csv,,8644,Pennsylvania\Environmental data\PA_2014_Watchdog\
TX1,inbred,G2F_IN_TX1,College Station,University Farm,224,-96.43076389,30.54950833,25,48,30,35,Fluted cone,Corn,19 fl oz Prevathon/Acre,Dual II Magnum 1.33 pts/A + Atrazine 1.5 pts/A,none,Min-till,Taken in grid pattern over entire field.  Test preformed by Soil; Water; and Forage testing laboratory. Test methods: pH and conductivity/2:1 nitrate-N/Cd-red;; P; K; Ca; Mg; Na; S/Mehlich 3 by ICP; Fe; Zn; Mn; and Cu/DTPA by ICP; and B/hotwater by ICP,(Belk clay)Top layer: 11% sand; 30% silt; 59% clay. Taken from USDA Web Soil Survey,7.9,108 lbs N per Acre,55.5 lbs P per Acre,0 lbs K per Acre,Pre-plant (150 lbs 11-37-0 + 4lbs Zn) applied on 1/19/2014 in liquid form; and 200 lbs 32-0-0 applied in liquid form on 4-19-2014 ~V-7.,yes,no,none,May 4; 2014 and June 19; 2014; flood irrigated,,7/25/2014,3/14/2014,2,914701 to 914831,Seth Murray,G2F_IN_TX1.csv,all except lodging; EL; EW; KRN,Texas - Seth,G2F_metadata_TX1_inbred.csv,,8428,Texas - Seth\Environmental Data\
TX2,inbred,G2F_IN_TX1,College Station,University Farm,222,-96.43145833,30.55196111,25,48,30,35,Fluted cone,Corn,19 fl oz Prevathon/Acre,Dual II Magnum 1.33 pts/A + Atrazine 1.5 pts/A,none,Min-till,Taken in grid pattern over entire field.  Test preformed by Soil; Water; and Forage testing laboratory. Test methods: pH and conductivity/2:1 nitrate-N/Cd-red;; P; K; Ca; Mg; Na; S/Mehlich 3 by ICP; Fe; Zn; Mn; and Cu/DTPA by ICP; and B/hotwater by ICP,(Belk clay)Top layer: 11% sand; 30% silt; 59% clay. Taken from USDA Web Soil Survey,PH = 8.00,108 lbs N per Acre,55.5 lbs P per Acre,0 lbs K per Acre,Pre-plant (150 lbs 11-37-0 + 4lbs Zn) applied on 1/29/2014 in liquid form; and 200 lbs 32-0-0 applied in liquid form on 4-15-2014.,no,no,none,Accidently irrigated first 2 ranges (plots 1-20) on 5/5/2014; overflow.,,7/29/2014,3/14/2014,2,914901 to 915031,Seth Murray,G2F_IN_TX2_v2.csv,all except lodging; EL; EW; KRN,Texas - Seth,G2F_metadata_TX2_inbred.csv,,8428,Texas - Seth\Environmental Data\
TX3,inbred,,halfway,Halfway,pivot,-101.9494444,34.18466667,20,24,30,,fluted cone,cotton,n/a,warrant/atrazine,warrant,,,,,300lb/acre,80lb/acre,0,3/6/14-UAN/10-34-0 applied with spreader truck. V5 stage 32-0-0 applied side dress,yes,N,n/a,,,9/20/2014,4/23/2014,2,915101 to 915231,Wenwei Xu,2014G2F-Inbred-HF-Report.csv,all,Texas - Wenwei,G2F_metadata_TX3_inbred.csv,,8630,Texas - Wenwei\Environmental data
WI1,inbred,G2FWI1,Madison,West Madison,M1400,-89.53095,43.05537778,18,36,30,25,air,soybeans,Counter Force 3G,None,Tank Mix (Callisto; Dual 2 Magnum; Simazine 4L),Fall Chisel,NA,NA,NA,150lbs/acre,None,None,NA,no,NA,NA,NA,,10/29/2014,5/9/2014,4,700101 to 700231,Kaeppler/de Leon,G2F_IN_WI1_MAD.csv,all except lodging; EL; EW; KRN,Wisconsin,G2F_metadata_WI1_inbred.csv,,8648,Wisconsin\Environmental data\SWD Files\West Madison\
WI2,inbred,G2FWI2,Arlington,Arlington,712,-89.32800833,43.32728611,18,36,30,25,air,soybeans,Counter Force 3G,None,Tank Mix (Callisto; Dual 2 Magnum; Simazine 4L),Fall Chisel,NA,NA,NA,150lbs/acre,None,None,NA,no,NA,NA,NA,,11/7/2014,6/6/2014,2,700301 to 700431,Kaeppler/de Leon,G2F_IN_WI2_ARL.csv,all except lodging; EL; EW; KRN,Wisconsin,G2F_metadata_WI2_inbred.csv,,8647,Wisconsin\Environmental data\SWD Files\Arlington\
